FID;Shape *;AU_Unidad;Tramo;T1;T2;T3;T4;T5;T6;T7;T8;T9;sector;km2;Franja;F1;F2;F3;F4;nearX;nearY;COUNT_AVEN;LINK_2010;RC_DistAU;RCD_AUInv;RC_DistAV;RC_DistSb;RC_DistEV;RC_DistAc;RCD_ACInv;RC_PCol_H;LINK__2011;DENS10;POB10;VARON;MUJER;VIV10;HOG10;NBI10;NBI_H10;NO_VIV10;Z_NBI10;Z_BARON;Z_MUJER;Z_NBIH10;Z_NEDU10;Z_DESO10;Z_OCUP10;Z_INMI10;Z_NTEN10;NO_EDU10;DESOC10;OCUP10;INMIG10;NO_TEN10;HA_RC;MENOR17;PEA65;ADULTMAY;Z_MENOR17;Z_PEA65;Z_ADULTMAY;VIV1HOG;VIVMAS1HOG;NBI10_HA;INMIG10_HA;NO_TEN10_HA
339;Point;340;9;0;0;0;0;0;0;0;0;1;NORTE;0,00264;2;0;1;0;0;100505,3241;99264,36032;0;20071309;291,372314;0,003432035;102,939675;470,020865;348,449143;291,372314;0,003432035;0;20071309;144,57478;493;245;248;186;166;0;0;0;0;0,496957;0,503043;0;0,03125;0,0853;0,6381;0,069;0,0663;15,40625;42,0529;314,5833;34,017;11,0058;3,406334;93;321;79;0,188641;0,651116;0,160243;156;5;0;9,986395932;3,230980873
344;Point;345;9;0;0;0;0;0;0;0;0;1;NORTE;0,005297;2;0;1;0;0;100541,0504;99265,85294;0;20071309;267,307989;0,003741003;106,164245;473,579702;331,865435;267,307989;0,003741003;0;20071309;144,57478;493;245;248;186;166;0;0;0;0;0,496957;0,503043;0;0,03125;0,0853;0,6381;0,069;0,0663;15,40625;42,0529;314,5833;34,017;11,0058;3,406334;93;321;79;0,188641;0,651116;0,160243;156;5;0;9,986395932;3,230980873
1231;Point;1281;1;1;0;0;0;0;0;0;0;0;NORTE;0,016014;4;0;0;0;1;107934,6243;101635,6765;0;20011507;569,530457;0,001755832;187,791116;196,646234;336,885864;569,530457;0,001755832;0;20011507;360,625;577;287;290;364;270;57,996;2,997;57,0024;0,100513;0,4974;0,5026;0,0111;0,019573;0,0596;0,714;0,1664;0,0926;11,293592;34,3892;411,978;96,0128;25,002;1,598053;81;426;70;0,140381;0,738302;0,121317;236;9;36,29166242;60,0811112;15,64528836
91;Point;92;9;0;0;0;0;0;0;0;0;1;NORTE;0,011019;2;0;1;0;0;99792,82048;98564,40071;0;20071408;350,178332;0,002855688;244,155458;378,539478;290,857861;966,10358;0,001035086;0;20071408;123,320158;936;466;470;320;300;8,01;5,01;0,992;0,008558;0,497863;0,502137;0,0167;0,048565;0,0456;0,6654;0,14;0,1033;45,456952;42,6816;622,8144;131,04;30,99;7,582793;215;604;117;0,229701;0,645299;0,125;258;14;1,056339003;17,28123134;4,086884608
108;Point;109;9;0;0;0;0;0;0;0;0;1;NORTE;0,009579;2;0;1;0;0;99734,86729;98620,79971;0;20071408;424,836892;0,002353845;198,055661;452,921529;355,565859;995,674239;0,001004345;0;20071408;123,320158;936;466;470;320;300;8,01;5,01;0,992;0,008558;0,497863;0,502137;0,0167;0,048565;0,0456;0,6654;0,14;0,1033;45,456952;42,6816;622,8144;131,04;30,99;7,582793;215;604;117;0,229701;0,645299;0,125;258;14;1,056339003;17,28123134;4,086884608
117;Point;118;9;0;0;0;0;0;0;0;0;1;NORTE;0,017419;2;0;1;0;0;99555,74382;98631,29214;1;20071408;595,642842;0,001678858;80,045065;624,658118;533,798302;1160,2004;0,00086192;0;20071408;123,320158;936;466;470;320;300;8,01;5,01;0,992;0,008558;0,497863;0,502137;0,0167;0,048565;0,0456;0,6654;0,14;0,1033;45,456952;42,6816;622,8144;131,04;30,99;7,582793;215;604;117;0,229701;0,645299;0,125;258;14;1,056339003;17,28123134;4,086884608
119;Point;120;9;0;0;0;0;0;0;0;0;1;NORTE;0,00142;2;0;1;0;0;99496,00328;98694,53153;1;20071408;673,833395;0,001484046;6,513524;702,004758;604,830045;1199,614094;0,000833601;0;20071408;123,320158;936;466;470;320;300;8,01;5,01;0,992;0,008558;0,497863;0,502137;0,0167;0,048565;0,0456;0,6654;0,14;0,1033;45,456952;42,6816;622,8144;131,04;30,99;7,582793;215;604;117;0,229701;0,645299;0,125;258;14;1,056339003;17,28123134;4,086884608
140;Point;141;9;0;0;0;0;0;0;0;0;1;NORTE;0,021009;2;0;1;0;0;99650,63802;98704,22992;1;20071408;537,111118;0,001861812;80,497214;564,894267;459,127583;1047,923777;0,000954268;0;20071408;123,320158;936;466;470;320;300;8,01;5,01;0,992;0,008558;0,497863;0,502137;0,0167;0,048565;0,0456;0,6654;0,14;0,1033;45,456952;42,6816;622,8144;131,04;30,99;7,582793;215;604;117;0,229701;0,645299;0,125;258;14;1,056339003;17,28123134;4,086884608
159;Point;160;9;0;0;0;0;0;0;0;0;1;NORTE;0,015382;3;0;0;1;0;99466,88677;98769,65084;1;20071408;730,570049;0,001368794;70,721589;758,519984;654,174883;1211,553387;0,000825387;0;20071408;123,320158;936;466;470;320;300;8,01;5,01;0,992;0,008558;0,497863;0,502137;0,0167;0,048565;0,0456;0,6654;0,14;0,1033;45,456952;42,6816;622,8144;131,04;30,99;7,582793;215;604;117;0,229701;0,645299;0,125;258;14;1,056339003;17,28123134;4,086884608
549;Point;550;2;0;1;0;0;0;0;0;0;0;SUR;0,018737;1;1;0;0;0;106741,041;99689,96867;1;20012906;929,216851;0,001076175;74,587616;909,387283;293,554238;929,216851;0,001076175;1;20012906;301,829268;990;493;497;349;323;14,9872;7,0091;7,9921;0,015139;0,49798;0,50202;0,0217;0,034268;0,0392;0,7127;0,1182;0,0991;33,925231;38,808;705,573;117,018;32,0093;3,278327;226;710;54;0,228283;0,717172;0,054545;316;3;4,571600087;35,69442585;9,763913118
